"GLOBAL_SALES","NAME","PLATFORM","PUBLISHER","RANK","YEAR"
"14.76","Call of Duty: Modern Warfare 3","X360","Activision","30","2011"
"14.64","Call of Duty: Black Ops","X360","Activision","32","2010"
"14.24","Call of Duty: Black Ops 3","PS4","Activision","34","2015"
"14.03","Call of Duty: Black Ops II","PS3","Activision","35","2012"
"13.73","Call of Duty: Black Ops II","X360","Activision","36","2012"
"13.51","Call of Duty: Modern Warfare 2","X360","Activision","37","2009"
"13.46","Call of Duty: Modern Warfare 3","PS3","Activision","38","2011"
"12.73","Call of Duty: Black Ops","PS3","Activision","41","2010"
"10.69","Call of Duty: Modern Warfare 2","PS3","Activision","56","2009"
"10.21","Call of Duty: Ghosts","X360","Activision","62","2013"
"9.59","Call of Duty: Ghosts","PS3","Activision","68","2013"
"9.32","Call of Duty 4: Modern Warfare","X360","Activision","71","2007"
"7.6","Call of Duty: Advanced Warfare","PS4","Activision","94","2014"
"7.37","Call of Duty: World at War","X360","Activision","99","2008"
